cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
47,861,11,407,23,47,145.7740936279297,myeloblast,0.92768735,92.76874
17,2213,146,148,52,57,127.89177703857422,myeloblast,0.99993646,99.993645
45,2589,128,387,66,51,120.77037811279297,myeloblast,0.52851075,52.851074
15,1273,14,138,28,65,113.59426879882812,myeloblast,0.8744233,87.44233
6,2983,27,68,54,76,111.8729476928711,myeloblast,0.9980457,99.804565
48,2025,396,410,63,41,107.47135925292969,myeloblast,0.9776775,97.76775
30,3003,29,262,58,66,107.02547454833984,myeloblast,0.78440964,78.44096
34,1580,113,279,58,42,105.95221710205078,myeloblast,0.81423587,81.423584
46,2734,46,400,54,62,105.51773834228516,myeloblast,0.78248405,78.248405
39,94,460,306,5,29,104.7872314453125,erythroblast,0.9979984,99.79984
37,3146,40,327,57,70,104.75635528564453,myeloblast,0.9962716,99.62716
19,1751,332,159,47,50,103.53455352783203,myeloblast,0.53864783,53.864784
23,1653,16,209,33,68,102.34119415283203,myeloblast,0.98485285,98.48528
16,2200,384,136,60,51,99.0243148803711,basophil,0.48330724,48.330723
24,738,400,193,30,35,98.15650177001953,myeloblast,0.88525283,88.52528
26,3325,172,228,66,67,97.11203002929688,myeloblast,0.99999344,99.999344
20,2760,197,166,58,63,96.7650375366211,myeloblast,0.92915773,92.91577
22,1996,368,179,56,52,94.75726318359375,myeloblast,0.5590243,55.902428
13,2208,231,112,51,63,94.03962707519531,myeloblast,0.9667945,96.67945
18,2045,244,151,56,59,93.97261810302734,myeloblast,0.9891465,98.91465
43,2683,270,352,59,61,92.66455841064453,myeloblast,0.97746754,97.74675
11,2469,339,104,55,64,90.92304229736328,myeloblast,0.8050212,80.50212
14,972,165,118,48,34,90.9187240600586,myeloblast,0.95480114,95.48012
3,2890,379,28,79,54,90.34107208251953,myeloblast,0.97539854,97.539856
36,1139,291,294,40,38,90.05838775634766,myeloblast,0.5309478,53.09478
40,3975,209,341,69,80,89.82754516601562,myeloblast,0.9810883,98.108826
44,331,5,363,11,42,87.92900085449219,erythroblast,0.9728212,97.28212
32,1645,273,260,48,47,87.8398208618164,myeloblast,0.83677655,83.67766
27,2320,325,221,56,53,86.85043334960938,myeloblast,0.9969824,99.69824
38,4329,101,328,73,72,86.57149505615234,myeloblast,0.9818528,98.18528
8,2559,382,82,61,57,85.01992797851562,myeloblast,0.6789356,67.89356
42,3725,431,344,65,71,85.00952911376953,myeloblast,0.60117525,60.117523
4,2970,73,46,60,65,84.87660217285156,myeloblast,0.63964564,63.964565
35,4525,173,300,79,80,84.76773834228516,myeloblast,0.98356044,98.35604
28,2597,219,254,58,60,84.5606460571289,myeloblast,0.7411302,74.113014
9,4797,431,105,66,96,83.04554748535156,myeloblast,0.97305995,97.30599
33,3236,343,286,66,66,81.992431640625,myeloblast,0.7491978,74.91978
5,4557,120,72,73,86,81.25702667236328,myeloblast,0.9923111,99.23111
25,2060,239,209,54,51,75.25534057617188,myeloblast,0.79706997,79.70699
41,2593,323,335,57,59,74.42845916748047,myeloblast,0.77982825,77.98283
2,2021,307,27,51,52,73.1556167602539,myeloblast,0.9272806,92.72806
21,5477,426,192,76,104,71.67829132080078,myeloblast,0.97038794,97.038795
12,6010,62,123,105,94,70.93601989746094,myeloblast,0.99831057,99.831055
7,4029,189,74,69,76,70.26216125488281,myeloblast,0.76218694,76.2187
1,2993,209,24,80,47,68.4311752319336,erythroblast,0.5844559,58.44559
10,5302,288,128,75,113,67.0158462524414,myeloblast,0.9329878,93.29878
31,1460,79,256,34,53,64.42243957519531,monocyte,0.8165774,81.65774
29,531,455,250,17,50,63.50282669067383,erythroblast,0.99612856,99.612854
