cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
78,1411,16,477,32,51,122.64634704589844,myeloblast,0.75819397,75.8194
112,3172,33,723,67,54,120.49242401123047,myeloblast,0.9640759,96.40759
97,1282,14,616,29,57,118.18174743652344,myeloblast,0.7538641,75.38641
85,2060,911,539,56,49,116.7876205444336,myeloblast,0.9910438,99.10438
49,820,989,305,20,51,112.40548706054688,erythroblast,0.6448952,64.48952
96,1984,887,607,56,51,111.97782135009766,myeloblast,0.8000402,80.00402
83,2296,85,531,53,53,111.76971435546875,myeloblast,0.976324,97.6324
53,1700,316,317,43,53,111.537353515625,myeloblast,0.9110025,91.10025
55,1941,248,348,51,52,110.48506164550781,myeloblast,0.8327063,83.27063
47,833,749,289,33,33,110.10443878173828,myeloblast,0.98651916,98.65192
63,2090,161,395,59,53,109.93492889404297,myeloblast,0.7646369,76.463684
2,3793,133,34,69,69,109.29356384277344,myeloblast,0.9640381,96.40381
60,1943,61,379,50,48,106.7694320678711,myeloblast,0.7974662,79.74662
65,1558,19,403,38,51,106.38125610351562,myeloblast,0.9022042,90.22042
24,1095,337,144,38,37,106.21871948242188,myeloblast,0.9976533,99.76533
111,3775,362,718,74,63,105.78264617919922,myeloblast,0.97021073,97.02107
80,1026,561,495,37,36,104.83187103271484,myeloblast,0.96983385,96.98338
52,2760,793,319,61,58,102.85851287841797,myeloblast,0.90184474,90.18447
29,1874,25,192,49,48,102.80496215820312,myeloblast,0.9434647,94.346466
74,2506,252,454,55,57,100.91520690917969,myeloblast,0.786716,78.6716
6,975,510,12,58,25,98.41641235351562,erythroblast,0.58526385,58.526386
64,1862,366,402,46,52,96.83405303955078,myeloblast,0.6859287,68.59287
4,593,345,9,51,18,96.40641021728516,erythroblast,0.99613875,99.61388
94,2162,101,578,57,50,96.04070281982422,myeloblast,0.51850057,51.850056
91,2766,549,568,60,62,95.02277374267578,myeloblast,0.75725305,75.7253
93,2149,162,576,49,53,93.02373504638672,monocyte,0.79453784,79.45378
69,2867,477,454,56,70,91.82508087158203,basophil,0.74939,74.939
3,783,286,11,53,22,91.76181030273438,basophil,0.6782255,67.822556
39,4252,28,266,56,100,91.35054016113281,myeloblast,0.8467288,84.67288
12,2238,321,46,55,58,90.8194808959961,myeloblast,0.47804344,47.804344
115,817,953,739,54,19,90.61016082763672,erythroblast,0.6134156,61.34156
8,704,586,10,52,20,89.89417266845703,erythroblast,0.90247995,90.24799
34,2410,289,230,58,53,88.78174591064453,myeloblast,0.63285613,63.285614
84,4827,34,554,68,86,86.50818634033203,monocyte,0.77839625,77.83962
17,2186,837,95,55,51,86.50114440917969,myeloblast,0.53248984,53.248985
1,1819,50,15,82,30,86.06954193115234,erythroblast,0.91022146,91.02215
62,707,197,385,29,35,82.6089096069336,myeloblast,0.54868215,54.868214
40,5281,798,260,90,77,82.39187622070312,myeloblast,0.9046779,90.4678
18,2269,286,108,64,50,82.28096008300781,myeloblast,0.66417664,66.41766
75,6122,930,481,86,93,81.74395751953125,myeloblast,0.6801753,68.01753
48,5833,699,322,91,88,81.63861083984375,monocyte,0.59930617,59.93062
54,1475,519,337,44,47,80.7647476196289,erythroblast,0.6804629,68.04629
108,2747,409,711,53,75,80.55351257324219,myeloblast,0.49080303,49.080303
27,1163,873,164,37,41,79.58039855957031,myeloblast,0.4570759,45.70759
16,4474,490,107,81,74,79.53385925292969,myeloblast,0.8195997,81.95997
89,6785,232,578,97,87,79.18680572509766,myeloblast,0.9045953,90.45953
57,3523,222,366,84,87,79.041015625,myeloblast,0.96059895,96.05989
102,5778,135,656,88,87,78.75545501708984,myeloblast,0.98694044,98.694046
31,2290,968,232,57,74,78.47030639648438,myeloblast,0.87247425,87.24743
58,5194,478,383,86,82,78.0185775756836,monocyte,0.6483237,64.832375
95,2975,826,602,81,60,77.91092681884766,basophil,0.7099166,70.99166
67,6384,200,444,104,97,77.83818817138672,myeloblast,0.6826232,68.26232
9,5948,679,38,100,76,77.26924896240234,basophil,0.44448242,44.448242
45,3377,641,304,65,72,76.34883117675781,monocyte,0.50052077,50.05208
109,3302,168,712,85,75,75.8622055053711,erythroblast,0.8194034,81.94034
76,5942,424,481,94,88,75.69244384765625,myeloblast,0.9202734,92.02734
103,4438,343,652,80,78,75.40998077392578,myeloblast,0.6244521,62.445213
7,7184,540,57,103,114,75.38877868652344,myeloblast,0.9910862,99.10862
38,3045,660,242,72,66,75.37175750732422,myeloblast,0.45852542,45.852543
99,9414,782,646,114,110,74.13644409179688,myeloblast,0.99427843,99.42784
107,6136,291,703,90,94,74.04530334472656,monocyte,0.7572822,75.72822
105,4371,700,662,72,83,73.95561981201172,myeloblast,0.8591835,85.91835
35,4825,534,251,69,95,73.30767059326172,myeloblast,0.63745743,63.745743
86,3132,832,553,82,53,72.97030639648438,myeloblast,0.90855426,90.85542
82,3172,974,525,52,81,72.48423767089844,erythroblast,0.9662002,96.62002
100,7692,466,648,92,113,72.42232513427734,myeloblast,0.99885833,99.88583
37,2775,170,239,62,63,71.61063385009766,erythroblast,0.5378663,53.78663
66,6732,113,430,92,99,71.42810821533203,myeloblast,0.7031281,70.31281
46,9041,136,324,111,107,71.40067291259766,myeloblast,0.99364316,99.36432
22,4896,772,160,80,82,71.318115234375,monocyte,0.61735064,61.735065
68,5995,676,461,66,118,70.8582992553711,myeloblast,0.77691036,77.69104
50,7055,584,339,90,107,70.79822540283203,monocyte,0.7456599,74.56599
5,5923,418,33,107,67,70.70699310302734,myeloblast,0.7199863,71.998634
92,7084,394,590,94,101,70.03691101074219,myeloblast,0.8201492,82.014915
56,3372,352,356,72,68,69.78069305419922,myeloblast,0.8934216,89.342155
72,3297,534,456,65,66,69.58416748046875,monocyte,0.48355022,48.355022
25,7869,693,191,105,101,69.29533386230469,myeloblast,0.9795846,97.95846
73,3306,733,460,60,74,69.0418930053711,erythroblast,0.791539,79.1539
11,3128,793,50,58,78,68.92167663574219,erythroblast,0.75001204,75.001205
90,4306,315,572,76,74,67.92986297607422,monocyte,0.897635,89.7635
32,3588,447,236,77,80,67.83612060546875,erythroblast,0.6902293,69.02293
101,6397,952,654,93,88,67.62435150146484,erythroblast,0.9015065,90.15065
88,3342,464,563,71,61,67.26316833496094,erythroblast,0.67831415,67.83141
106,4960,532,695,74,87,66.34183502197266,myeloblast,0.73878145,73.87814
21,2304,911,147,51,81,65.69271087646484,myeloblast,0.61013395,61.013393
43,5796,258,287,91,81,65.12120056152344,myeloblast,0.9172575,91.725746
51,3618,456,321,85,66,65.114013671875,erythroblast,0.56426996,56.426994
28,3603,471,189,67,78,65.08409881591797,monocyte,0.57720697,57.720695
15,3630,734,101,71,70,65.08099365234375,monocyte,0.71603274,71.60327
30,3974,842,216,80,67,64.99358367919922,erythroblast,0.8276894,82.76894
36,4411,100,242,80,72,64.76943969726562,myeloblast,0.42254856,42.254856
26,3563,410,177,79,68,64.20109558105469,myeloblast,0.5039868,50.398678
98,4005,648,623,78,71,64.09912872314453,erythroblast,0.7075321,70.75321
14,7513,380,99,99,113,64.09629821777344,myeloblast,0.8675785,86.75785
70,4340,605,454,77,71,64.05138397216797,myeloblast,0.72781515,72.78152
114,1603,103,736,81,28,63.666873931884766,erythroblast,0.92245144,92.24514
110,4523,748,713,87,73,62.72208786010742,erythroblast,0.63048923,63.048923
113,2134,456,725,57,50,62.29428482055664,erythroblast,0.55260515,55.260513
87,4292,616,565,79,71,62.25838851928711,monocyte,0.3581207,35.812073
81,4668,233,511,103,63,61.89213943481445,myeloblast,0.9025872,90.25872
42,4079,356,280,72,77,61.62269973754883,monocyte,0.5055992,50.55992
77,4347,856,490,71,89,60.90165710449219,erythroblast,0.87975395,87.975395
79,5769,360,514,92,91,60.39625549316406,monocyte,0.8654423,86.54423
19,5083,178,141,81,100,59.978458404541016,myeloblast,0.5382886,53.828857
10,4905,242,50,82,85,59.812129974365234,erythroblast,0.50940967,50.940968
59,4762,557,396,86,92,59.34701919555664,myeloblast,0.48563424,48.563423
13,10436,87,105,124,140,58.06827926635742,monocyte,0.81111914,81.111916
41,4235,481,271,88,84,57.89445114135742,erythroblast,0.6292766,62.927658
33,4408,599,246,68,94,55.852088928222656,erythroblast,0.4624104,46.24104
61,6266,301,409,94,95,54.0096549987793,monocyte,0.46630055,46.630054
23,5621,124,177,84,111,53.61870574951172,erythroblast,0.53761226,53.761227
104,10064,225,683,112,132,53.309120178222656,myeloblast,0.9937388,99.37388
20,8837,255,164,115,114,49.12945556640625,myeloblast,0.87989765,87.98977
44,7792,896,299,104,103,44.4935188293457,erythroblast,0.93470937,93.47094
71,7201,799,471,99,103,44.39313888549805,erythroblast,0.8645276,86.45276
