cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
23,492,54,93,24,26,74.26219177246094,myeloblast,0.5015741,50.15741
4,171,309,6,21,11,68.92105102539062,basophil,0.9677443,96.77443
43,537,160,187,25,27,68.56983184814453,myeloblast,0.59597045,59.597046
21,415,313,74,25,22,66.85903930664062,erythroblast,0.513563,51.356297
2,218,247,8,26,14,66.78211212158203,basophil,0.98844063,98.84406
15,640,12,56,23,36,65.8109359741211,myeloblast,0.50403637,50.403637
20,571,125,77,33,32,62.64448165893555,erythroblast,0.6915216,69.15216
48,311,187,203,30,14,62.627010345458984,erythroblast,0.95883155,95.883156
46,368,340,202,29,15,62.557064056396484,erythroblast,0.9319083,93.190834
41,612,342,182,27,28,61.67401885986328,erythroblast,0.74636835,74.63683
31,586,50,124,27,28,61.61518859863281,erythroblast,0.51975286,51.975285
34,663,291,137,30,28,59.557315826416016,myeloblast,0.62184685,62.184685
19,576,163,70,25,28,59.14930725097656,basophil,0.8851554,88.51554
28,516,271,116,23,29,59.093994140625,myeloblast,0.48077354,48.077354
37,511,162,150,28,26,57.77397155761719,basophil,0.8038235,80.38235
38,715,281,160,32,29,57.43915939331055,myeloblast,0.79226714,79.226715
49,259,301,203,26,14,57.268341064453125,erythroblast,0.9972747,99.72747
25,664,220,102,31,30,56.949546813964844,myeloblast,0.6803662,68.03662
6,659,56,16,29,29,56.751895904541016,erythroblast,0.63806677,63.80668
9,634,342,26,28,34,56.36277770996094,erythroblast,0.66318256,66.31825
14,678,139,48,30,28,56.236724853515625,myeloblast,0.4734265,47.342648
12,570,325,43,27,29,55.6552619934082,erythroblast,0.6529313,65.29313
45,607,43,196,28,28,55.64168167114258,erythroblast,0.9082699,90.82699
1,548,226,13,28,25,55.159671783447266,myeloblast,0.548255,54.825504
40,707,320,177,29,36,54.490806579589844,erythroblast,0.9034916,90.34916
18,693,190,65,28,31,54.191917419433594,myeloblast,0.68451947,68.45195
13,764,96,47,31,34,54.142669677734375,erythroblast,0.64908147,64.90815
44,856,17,194,32,32,53.97663497924805,myeloblast,0.72273475,72.273476
32,593,158,126,28,27,53.90809631347656,basophil,0.7867489,78.67489
26,823,292,105,34,32,53.83839797973633,erythroblast,0.5064107,50.64107
36,744,122,150,32,31,53.781585693359375,erythroblast,0.7771449,77.71449
5,621,328,15,31,28,53.54106140136719,erythroblast,0.796617,79.6617
7,691,255,19,34,35,53.50578689575195,erythroblast,0.8168708,81.68708
39,649,182,164,31,28,52.42064666748047,erythroblast,0.7289728,72.89728
3,653,281,14,30,27,52.37672424316406,basophil,0.65736127,65.73613
16,837,72,56,33,34,52.29808807373047,myeloblast,0.49970698,49.9707
29,736,96,121,29,31,51.56929397583008,myeloblast,0.8873244,88.73244
8,274,9,18,16,21,49.80656814575195,basophil,0.8087481,80.87481
22,799,239,85,34,31,48.93491744995117,myeloblast,0.73791564,73.791565
10,749,211,42,31,32,47.99065399169922,myeloblast,0.6945503,69.455025
17,678,244,63,42,29,47.90339279174805,erythroblast,0.47327575,47.327576
42,833,118,188,33,34,47.77370834350586,myeloblast,0.60552967,60.552967
11,748,241,42,33,33,47.49665832519531,erythroblast,0.89350706,89.35071
27,821,137,108,36,31,47.010963439941406,myeloblast,0.6154546,61.54546
30,605,25,124,26,32,46.74380111694336,monocyte,0.5573075,55.730747
33,1029,187,135,35,38,46.60155487060547,monocyte,0.56110203,56.110203
35,1001,37,150,39,37,45.98151779174805,erythroblast,0.796782,79.6782
47,325,129,203,34,14,43.403076171875,erythroblast,0.99944,99.944
