cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
30,149,245,62,10,24,60.177852630615234,erythroblast,0.87727904,87.727905
3,401,9,17,19,26,57.119346618652344,basophil,0.97475374,97.47537
1,446,49,9,28,19,53.45661926269531,myeloblast,0.77502006,77.50201
31,647,104,67,32,28,52.83359146118164,myeloblast,0.89189833,89.189835
4,598,105,21,31,29,52.029361724853516,myeloblast,0.9037834,90.37834
32,501,233,68,27,27,51.4156608581543,basophil,0.5660342,56.60342
80,688,145,191,26,35,51.1072998046875,myeloblast,0.6919851,69.19851
65,631,144,139,30,28,50.24603271484375,myeloblast,0.9327557,93.27557
43,795,93,89,34,30,49.24748229980469,basophil,0.90996677,90.99667
79,659,122,187,25,34,49.16615676879883,myeloblast,0.7031105,70.31105
28,698,152,61,32,31,49.13433837890625,myeloblast,0.67912924,67.912926
52,821,88,114,35,32,48.81940841674805,myeloblast,0.86771077,86.77108
33,895,180,75,35,34,47.4012336730957,myeloblast,0.904662,90.4662
12,899,95,42,37,34,47.025596618652344,basophil,0.822119,82.2119
64,989,113,140,34,38,43.8187370300293,basophil,0.9895197,98.95197
21,606,173,49,29,28,42.39950180053711,basophil,0.98288846,98.28885
