cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
15,4541,180,184,88,70,62.094581604003906,myeloblast,0.7971191,79.71191
21,5261,156,245,91,76,60.61471176147461,monocyte,0.44663084,44.663082
18,2940,229,223,60,65,60.180442810058594,myeloblast,0.78742737,78.74274
8,5533,189,112,88,82,54.92081069946289,erythroblast,0.8156116,81.56116
13,7935,107,149,99,102,54.37183380126953,erythroblast,0.49269336,49.269337
1,5883,52,41,87,83,53.99464416503906,erythroblast,0.49305835,49.305836
5,1436,158,30,44,42,53.987430572509766,erythroblast,0.87248755,87.24876
16,6677,322,196,90,93,53.04084777832031,myeloblast,0.710426,71.042595
6,1187,131,67,37,40,52.578311920166016,erythroblast,0.8519169,85.19169
3,1361,356,21,38,41,51.50332260131836,erythroblast,0.9887583,98.87583
7,1142,274,67,38,39,51.10922622680664,erythroblast,0.98214585,98.214584
10,1281,16,106,32,49,48.160484313964844,erythroblast,0.99815065,99.81506
9,1566,56,103,43,47,47.72129440307617,erythroblast,0.9767139,97.67139
17,950,13,211,26,44,47.06777572631836,erythroblast,0.99980193,99.980194
14,1453,39,163,44,43,44.96475601196289,erythroblast,0.8045854,80.45854
20,1315,96,213,48,37,44.53616714477539,erythroblast,0.9490116,94.90116
4,1389,293,24,42,42,43.835655212402344,erythroblast,0.9438606,94.38606
11,1357,258,111,43,42,43.319087982177734,erythroblast,0.9943646,99.43646
12,1487,354,113,42,43,43.077674865722656,erythroblast,0.9726571,97.26571
23,783,47,270,42,24,42.58876037597656,erythroblast,0.9997398,99.97398
19,1554,55,215,46,45,40.793479919433594,erythroblast,0.9947491,99.474915
2,935,248,15,39,30,39.72138977050781,erythroblast,0.9777598,97.77598
22,1650,88,257,48,44,37.09727096557617,erythroblast,0.9793194,97.93194
