cell_id,area,x,y,width,height,purple_score,predicted_class,confidence,confidence_percent
119,752,573,354,31,33,127.09707641601562,myeloblast,0.9267081,92.67081
61,674,434,257,29,31,125.94139099121094,myeloblast,0.51845366,51.845367
18,994,716,119,35,36,122.42605590820312,myeloblast,0.82496387,82.49638
85,464,759,300,18,36,122.26293182373047,erythroblast,0.98357946,98.35795
16,859,753,113,30,35,122.18451690673828,erythroblast,0.9468425,94.68425
6,563,531,68,28,29,120.7779769897461,myeloblast,0.9834235,98.34235
170,1111,185,524,38,38,120.66246795654297,erythroblast,0.5220726,52.20726
54,1284,744,250,42,38,120.24026489257812,myeloblast,0.7928811,79.28811
17,865,14,117,29,36,120.17398834228516,erythroblast,0.94013137,94.01314
20,728,487,129,33,32,118.23419952392578,myeloblast,0.9476107,94.76107
19,1245,154,133,41,40,115.09036254882812,myeloblast,0.4509558,45.09558
92,1206,137,316,40,39,113.77031707763672,erythroblast,0.9068339,90.68339
32,694,199,193,33,29,113.33429718017578,myeloblast,0.86072564,86.07256
9,710,755,80,25,34,113.0999984741211,myeloblast,0.59874856,59.874855
174,1418,217,545,40,46,112.55289459228516,basophil,0.48284432,48.28443
48,626,68,239,32,27,110.50159454345703,myeloblast,0.59362507,59.362507
41,801,342,225,44,28,110.45068359375,myeloblast,0.8753461,87.534615
1,643,289,14,30,28,110.37635803222656,erythroblast,0.6680411,66.80411
175,587,708,536,28,27,108.0758056640625,myeloblast,0.6452125,64.52125
75,826,43,279,35,28,107.47881317138672,myeloblast,0.8872652,88.72652
7,1110,613,74,36,40,107.30000305175781,monocyte,0.5241856,52.41856
30,895,167,193,33,35,106.80279541015625,erythroblast,0.5992585,59.92585
150,632,575,421,32,27,103.87025451660156,myeloblast,0.64640194,64.6402
8,1088,560,78,36,45,102.6663589477539,erythroblast,0.752319,75.231895
11,560,143,96,29,29,102.16874694824219,erythroblast,0.9062544,90.62544
28,1357,751,186,34,52,102.039794921875,erythroblast,0.9193526,91.93526
39,522,91,219,28,25,101.83811950683594,myeloblast,0.7836899,78.36899
